ID,Pred
2019_Abilene Chr_ St. Louis,0.3337179274
2019_Abilene Chr_ St. Mary's CA,0.202839601
2019_Abilene Chr_Syracuse,0.137637965
2019_Abilene Chr_Temple,0.2387819189
2019_Abilene Chr_Tennessee,0.0379891911
2019_Abilene Chr_Texas Tech,0.0619167437
2019_Abilene Chr_UC Irvine,0.2234359066
2019_Abilene Chr_UCF,0.1918176622
2019_Abilene Chr_Utah St,0.1626233758
2019_Abilene Chr_VA CommonWealth,0.1816033288
2019_Abilene Chr_Vermont,0.3261739553
2019_Abilene Chr_Villanova,0.0991673949
2019_Abilene Chr_Virginia,0.0288374027
2019_Abilene Chr_Virginia Tech,0.0825690416
2019_Abilene Chr_Washington,0.1085194513
2019_Abilene Chr_Wisconsin,0.0737126065
2019_Abilene Chr_Wofford,0.153122719
2019_Abilene Chr_Yale,0.4492574691
2019_Arizona St_Auburn,0.2407978071
2019_Arizona St_Baylor,0.4949019969
2019_Arizona St_Belmont,0.6650479727
2019_Arizona St_Bradley,0.8185861485
2019_Arizona St_Buffalo,0.3062079353
2019_Arizona St_Cincinnati,0.3661851677
2019_Arizona St_Colgate,0.7801460624
2019_Arizona St_Duke,0.1010013892
2019_Arizona St_F Dickinson,0.9194676357
2019_Arizona St_Florida,0.402839759
2019_Arizona St_Florida St,0.1904014369
2019_Arizona St_Gardner Webb,0.8573710492
2019_Arizona St_Georgia St,0.7118967133
2019_Arizona St_Gonzaga,0.1713765022
2019_Arizona St_Houston,0.2441650074
2019_Arizona St_Iona,0.9278501679
2019_Arizona St_Iowa,0.3676738331
2019_Arizona St_Iowa St,0.309087246
2019_Arizona St_Kansas,0.2133913001
2019_Arizona St_Kansas St,0.2729040725
2019_Arizona St_Kentucky,0.1748934441
2019_Arizona St_Liberty,0.6677500325
2019_Arizona St_Louisville,0.3366129974
2019_Arizona St_LSU,0.254116598
2019_Arizona St_Marquette,0.3274010209
2019_Arizona St_Maryland,0.32261498
2019_Arizona St_Michigan,0.1451838641
2019_Arizona St_Michigan St,0.1361700328
2019_Arizona St_Minnesota,0.3819860307
2019_Arizona St_Mississippi,0.4638289403
2019_Arizona St_Mississippi ST,0.3145765582
2019_Arizona St_Montana,0.7546869143
2019_Arizona St_Murray St,0.6482918284
2019_Arizona St_N Dakota St,0.8887124931
2019_Arizona St_N Kentucky,0.6967706314
2019_Arizona St_NC Central,0.9652437952
2019_Arizona St_Nevada,0.3267524939
2019_Arizona St_New Mexico St,0.4912467937
2019_Arizona St_North Carolina,0.1495215656
2019_Arizona St_Northeastern,0.7025554249
2019_Arizona St_Ohio St,0.4188475718
2019_Arizona St_Oklahoma,0.4036498771
2019_Arizona St_Old Dominion,0.6489567908
2019_Arizona St_Oregon,0.4370775474
2019_Arizona St_Prairie View,0.9098379129
2019_Arizona St_Purdue,0.2315634702
2019_Arizona St_Seton Hall,0.4764931378
2019_Arizona St_St John's,0.545422875
2019_Arizona St_ St. Louis,0.6765194689
2019_Arizona St_ St. Mary's CA,0.515145094
2019_Arizona St_Syracuse,0.3999174499
2019_Arizona St_Temple,0.5670610085
2019_Arizona St_Tennessee,0.1415488718
2019_Arizona St_Texas Tech,0.2160545082
2019_Arizona St_UC Irvine,0.5457429185
2019_Arizona St_UCF,0.4977492273
2019_Arizona St_Utah St,0.4477915699
2019_Arizona St_VA CommonWealth,0.4809384803
2019_Arizona St_Vermont,0.6690071918
2019_Arizona St_Villanova,0.3149083739
2019_Arizona St_Virginia,0.1103097201
2019_Arizona St_Virginia Tech,0.27314917
2019_Arizona St_Washington,0.3369949001
2019_Arizona St_Wisconsin,0.249408133
2019_Arizona St_Wofford,0.4301898014
2019_Arizona St_Yale,0.7730419345
2019_Auburn_Baylor,0.7546663258
2019_Auburn_Belmont,0.8617523221
2019_Auburn_Bradley,0.9340631725
2019_Auburn_Buffalo,0.5808202005
2019_Auburn_Cincinnati,0.6446104061
2019_Auburn_Colgate,0.9176295456
2019_Auburn_Duke,0.2607453825
2019_Auburn_F Dickinson,0.9728587687
2019_Auburn_Florida,0.6792664116
2019_Auburn_Florida St,0.4247376152
2019_Auburn_Gardner Webb,0.9496776586
2019_Auburn_Georgia St,0.8858124509
2019_Auburn_Gonzaga,0.3936837517
2019_Auburn_Houston,0.5035175336
2019_Auburn_Iona,0.9758299601
2019_Auburn_Iowa,0.646077173
2019_Auburn_Iowa St,0.5841077434
2019_Auburn_Kansas,0.4599474634
2019_Auburn_Kansas St,0.5409359484
2019_Auburn_Kentucky,0.3995629599
2019_Auburn_Liberty,0.8631939882
2019_Auburn_Louisville,0.6143476268
2019_Auburn_LSU,0.5168119393
2019_Auburn_Marquette,0.6044605075
2019_Auburn_Maryland,0.5992326828
2019_Auburn_Michigan,0.3477744651
2019_Auburn_Michigan St,0.3310538732
2019_Auburn_Minnesota,0.6599165091
2019_Auburn_Mississippi,0.7308839059
2019_Auburn_Mississippi ST,0.5903082627
2019_Auburn_Montana,0.906176342
2019_Auburn_Murray St,0.8526562736
2019_Auburn_N Dakota St,0.9616429901
2019_Auburn_N Kentucky,0.8782558205
2019_Auburn_NC Central,0.9886606458
2019_Auburn_Nevada,0.6037558078
2019_Auburn_New Mexico St,0.7519487507
2019_Auburn_North Carolina,0.3556467304
2019_Auburn_Northeastern,0.8811688397
2019_Auburn_Ohio St,0.6935020619
2019_Auburn_Oklahoma,0.6799994143
2019_Auburn_Old Dominion,0.8530224505
2019_Auburn_Oregon,0.7091001976
2019_Auburn_Prairie View,0.9694008701
2019_Auburn_Purdue,0.4861398603
2019_Auburn_Seton Hall,0.7407657551
2019_Auburn_St John's,0.7902185069
2019_Auburn_ St. Louis,0.8678259423
2019_Auburn_ St. Mary's CA,0.7693506246
2019_Auburn_Syracuse,0.6766108991
2019_Auburn_Temple,0.8043833802
2019_Auburn_Tennessee,0.3410911396
2019_Auburn_Texas Tech,0.4638731742
2019_Auburn_UC Irvine,0.790432424
2019_Auburn_UCF,0.7567689265
2019_Auburn_Utah St,0.7179775273
2019_Auburn_VA CommonWealth,0.7441718672
2019_Auburn_Vermont,0.8638624004
2019_Auburn_Villanova,0.5906802802
2019_Auburn_Virginia,0.2801874159
2019_Auburn_Virginia Tech,0.5412425769
2019_Auburn_Washington,0.6147526303
2019_Auburn_Wisconsin,0.5105678735
2019_Auburn_Wofford,0.703281297
2019_Auburn_Yale,0.9144809304
2019_Baylor_Belmont,0.668631768
2019_Baylor_Bradley,0.8209694061
2019_Baylor_Buffalo,0.3096456344
2019_Baylor_Cincinnati,0.3699371774
2019_Baylor_Colgate,0.782900382
2019_Baylor_Duke,0.1024755775
2019_Baylor_F Dickinson,0.9206540613
2019_Baylor_Florida,0.4067263313
2019_Baylor_Florida St,0.1929004968
2019_Baylor_Gardner Webb,0.859332342
2019_Baylor_Georgia St,0.7151939157
2019_Baylor_Gonzaga,0.173679424
2019_Baylor_Houston,0.2471543022
2019_Baylor_Iona,0.9289226461
2019_Baylor_Iowa,0.3714321572
2019_Baylor_Iowa St,0.3125427083
2019_Baylor_Kansas,0.2161115595
2019_Baylor_Kansas St,0.2761166819
2019_Baylor_Kentucky,0.1772335174
2019_Baylor_Liberty,0.6713192054
2019_Baylor_Louisville,0.3402246529
2019_Baylor_LSU,0.2571862723
2019_Baylor_Marquette,0.3309631481
2019_Baylor_Maryland,0.3261502853
2019_Baylor_Michigan,0.1471973392
2019_Baylor_Michigan St,0.1380786925
2019_Baylor_Minnesota,0.3858013919
2019_Baylor_Mississippi,0.4678429371
2019_Baylor_Mississippi ST,0.3180651375
2019_Baylor_Montana,0.7576611083
2019_Baylor_Murray St,0.6519610818
2019_Baylor_N Dakota St,0.8902979533
2019_Baylor_N Kentucky,0.7001680348
2019_Baylor_NC Central,0.9657809316
2019_Baylor_Nevada,0.3303110302
2019_Baylor_New Mexico St,0.4952788868
2019_Baylor_North Carolina,0.1515845301
2019_Baylor_Northeastern,0.7059153707
2019_Baylor_Ohio St,0.4227792439
2019_Baylor_Oklahoma,0.4075389312
2019_Baylor_Old Dominion,0.6526228242
2019_Baylor_Oregon,0.441050473
2019_Baylor_Prairie View,0.9111524977
2019_Baylor_Purdue,0.2344463401
2019_Baylor_Seton Hall,0.4805185103
2019_Baylor_St John's,0.5494194242
2019_Baylor_ St. Louis,0.6800395762
2019_Baylor_ St. Mary's CA,0.5191731696
2019_Baylor_Syracuse,0.4037948926
2019_Baylor_Temple,0.5710169446
2019_Baylor_Tennessee,0.1435203991
2019_Baylor_Texas Tech,0.2187992741
2019_Baylor_UC Irvine,0.5497389768
2019_Baylor_UCF,0.5017820517
2019_Baylor_Utah St,0.451783723
2019_Baylor_VA CommonWealth,0.4849666175
2019_Baylor_Vermont,0.672569482
2019_Baylor_Villanova,0.3183989236
2019_Baylor_Virginia,0.1119028589
2019_Baylor_Virginia Tech,0.2763635681
2019_Baylor_Washington,0.3406085493
2019_Baylor_Wisconsin,0.2524401799
2019_Baylor_Wofford,0.4341484049
2019_Baylor_Yale,0.775859684
2019_Belmont_Bradley,0.6935278606
2019_Belmont_Buffalo,0.1812292854
2019_Belmont_Cincinnati,0.2246534829
2019_Belmont_Colgate,0.6402350718
2019_Belmont_Duke,0.0533386404
2019_Belmont_F Dickinson,0.8513213635
2019_Belmont_Florida,0.2527913887
2019_Belmont_Florida St,0.1055015956
2019_Belmont_Gardner Webb,0.7509136593
2019_Belmont_Georgia St,0.5534155379
2019_Belmont_Gonzaga,0.093975165
2019_Belmont_Houston,0.1394204319
2019_Belmont_Iona,0.8657615836
2019_Belmont_Iowa,0.225771729
2019_Belmont_Iowa St,0.1832437967
2019_Belmont_Kansas,0.1197566603
2019_Belmont_Kansas St,0.1584146788
2019_Belmont_Kentucky,0.096087891
2019_Belmont_Liberty,0.5019732679
2019_Belmont_Louisville,0.202852951
2019_Belmont_LSU,0.1459271126
2019_Belmont_Marquette,0.1962188068
2019_Belmont_Maryland,0.1928007271
2019_Belmont_Michigan,0.07849172
2019_Belmont_Michigan St,0.0732636323
2019_Belmont_Minnesota,0.2366272709
2019_Belmont_Mississippi,0.3025739833
2019_Belmont_Mississippi ST,0.1871033983
2019_Belmont_Montana,0.6067412179
2019_Belmont_Murray St,0.4803616043
2019_Belmont_N Dakota St,0.8001966033
2019_Belmont_N Kentucky,0.5353990714
2019_Belmont_NC Central,0.9330110528
2019_Belmont_Nevada,0.1957545027
2019_Belmont_New Mexico St,0.3262600174
2019_Belmont_North Carolina,0.0810257118
2019_Belmont_Northeastern,0.5422398815
2019_Belmont_Ohio St,0.2654875104
2019_Belmont_Oklahoma,0.253427816
2019_Belmont_Old Dominion,0.4810899312
2019_Belmont_Oregon,0.2802615851
2019_Belmont_Prairie View,0.8350052365
2019_Belmont_Purdue,0.1312858466
2019_Belmont_Seton Hall,0.31340894
2019_Belmont_St John's,0.3756767098
2019_Belmont_ St. Louis,0.5119200179
2019_Belmont_ St. Mary's CA,0.3476161472
2019_Belmont_Syracuse,0.2505009632
2019_Belmont_Temple,0.3964537914
2019_Belmont_Tennessee,0.0763773159
2019_Belmont_Texas Tech,0.1214316716
2019_Belmont_UC Irvine,0.3759795316
2019_Belmont_UCF,0.3320037402
2019_Belmont_Utah St,0.2891058057
2019_Belmont_VA CommonWealth,0.3172548555
2019_Belmont_Vermont,0.5033911916
2019_Belmont_Villanova,0.187337505
2019_Belmont_Virginia,0.0585403878
2019_Belmont_Virginia Tech,0.1585793782
2019_Belmont_Washington,0.2031295649
2019_Belmont_Wisconsin,0.1428393731
2019_Belmont_Wofford,0.2746393895
2019_Belmont_Yale,0.6307498079
2019_Bradley_Buffalo,0.0887521736
2019_Bradley_Cincinnati,0.1130782402
2019_Bradley_Colgate,0.4391675183
2019_Bradley_Duke,0.0241928864
2019_Bradley_F Dickinson,0.7158720167
2019_Bradley_Florida,0.1295768079
2019_Bradley_Florida St,0.0493380504
2019_Bradley_Gardner Webb,0.5701750045
2019_Bradley_Georgia St,0.3528705002
2019_Bradley_Gonzaga,0.0436482722
2019_Bradley_Houston,0.0665435362
2019_Bradley_Iona,0.739441203
2019_Bradley_Iowa,0.1137225636
2019_Bradley_Iowa St,0.0898515341
2019_Bradley_Kansas,0.0564836526
2019_Bradley_Kansas St,0.0764917284
2019_Bradley_Kentucky,0.0446853644
2019_Bradley_Liberty,0.3072446058
2019_Bradley_Louisville,0.1006988376
2019_Bradley_LSU,0.0699254441
2019_Bradley_Marquette,0.0969990363
2019_Bradley_Maryland,0.0951048334
2019_Bradley_Michigan,0.0361261129
2019_Bradley_Michigan St,0.0336169239
2019_Bradley_Minnesota,0.1200257755
2019_Bradley_Mississippi,0.1603001502
2019_Bradley_Mississippi ST,0.0919655377
2019_Bradley_Montana,0.404369512
2019_Bradley_Murray St,0.2891491669
2019_Bradley_N Dakota St,0.6379777407
2019_Bradley_N Kentucky,0.3364639189
2019_Bradley_NC Central,0.8597196608
2019_Bradley_Nevada,0.0967412541
2019_Bradley_New Mexico St,0.1756538134
2019_Bradley_North Carolina,0.0373478243
2019_Bradley_Northeastern,0.3426374752
2019_Bradley_Ohio St,0.1372210849
2019_Bradley_Oklahoma,0.1299569821
2019_Bradley_Old Dominion,0.2897492337
2019_Bradley_Oregon,0.1462787952
2019_Bradley_Prairie View,0.6901024633
2019_Bradley_Purdue,0.0623529249
2019_Bradley_Seton Hall,0.1672622403
2019_Bradley_St John's,0.2093471265
2019_Bradley_ St. Louis,0.3157793413
2019_Bradley_ St. Mary's CA,0.1899307562
2019_Bradley_Syracuse,0.1282112146
2019_Bradley_Temple,0.2242290903
2019_Bradley_Tennessee,0.035109469
2019_Bradley_Texas Tech,0.0573313178
2019_Bradley_UC Irvine,0.2095608782
2019_Bradley_UCF,0.1794523557
2019_Bradley_Utah St,0.1517865873
2019_Bradley_VA CommonWealth,0.1697581695
2019_Bradley_Vermont,0.3084531533
2019_Bradley_Villanova,0.0920940924
2019_Bradley_Virginia,0.0266322148
2019_Bradley_Virginia Tech,0.076579005
2019_Bradley_Washington,0.1008537763
2019_Bradley_Wisconsin,0.068317223
2019_Bradley_Wofford,0.1428110567
2019_Bradley_Yale,0.4291080893
2019_Buffalo_Cincinnati,0.5658720896
2019_Buffalo_Colgate,0.8889602548
2019_Buffalo_Duke,0.2022161293
2019_Buffalo_F Dickinson,0.9626293306
2019_Buffalo_Florida,0.6034832363
2019_Buffalo_Florida St,0.3466590735
2019_Buffalo_Gardner Webb,0.9313280557
2019_Buffalo_Georgia St,0.8479046232
2019_Buffalo_Gonzaga,0.3181565745
2019_Buffalo_Houston,0.4215698624
2019_Buffalo_Iona,0.9666820024
2019_Buffalo_Iowa,0.567445761
2019_Buffalo_Iowa St,0.5023141334
2019_Buffalo_Kansas,0.3796682002
2019_Buffalo_Kansas St,0.4585226617
2019_Buffalo_Kentucky,0.3235096869
2019_Buffalo_Liberty,0.8193089937
2019_Buffalo_Louisville,0.5337540653
2019_Buffalo_LSU,0.4345945608
2019_Buffalo_Marquette,0.5234036532
2019_Buffalo_Maryland,0.5179588567
2019_Buffalo_Michigan,0.2770306129
2019_Buffalo_Michigan St,0.2623432131
2019_Buffalo_Minnesota,0.5823722947
2019_Buffalo_Mississippi,0.6612140535
2019_Buffalo_Mississippi ST,0.5087084274
2019_Buffalo_Montana,0.874067797
2019_Buffalo_Murray St,0.8061500902
2019_Buffalo_N Dakota St,0.9474148519
2019_Buffalo_N Kentucky,0.8382972983
2019_Buffalo_NC Central,0.984290712
2019_Buffalo_Nevada,0.5226685809
2019_Buffalo_New Mexico St,0.6853848082
2019_Buffalo_North Carolina,0.2839987953
2019_Buffalo_Northeastern,0.8419944093
2019_Buffalo_Ohio St,0.6191968251
2019_Buffalo_Oklahoma,0.6042885378
2019_Buffalo_Old Dominion,0.8066056293
2019_Buffalo_Oregon,0.6365949021
2019_Buffalo_Prairie View,0.9579245272
2019_Buffalo_Purdue,0.4047149448
2019_Buffalo_Seton Hall,0.6725078616
2019_Buffalo_St John's,0.7302399637
2019_Buffalo_ St. Louis,0.8251257802
2019_Buffalo_ St. Mary's CA,0.705628326
2019_Buffalo_Syracuse,0.6005692363
2019_Buffalo_Temple,0.7471588986
2019_Buffalo_Tennessee,0.2711416275
2019_Buffalo_Texas Tech,0.3833951513
2019_Buffalo_UC Irvine,0.7304941826
2019_Buffalo_UCF,0.6909668758
2019_Buffalo_Utah St,0.6465820792
2019_Buffalo_VA CommonWealth,0.6764190618
2019_Buffalo_Vermont,0.8201471459
2019_Buffalo_Villanova,0.509092922
2019_Buffalo_Virginia,0.2185844256
2019_Buffalo_Virginia Tech,0.4588292663
2019_Buffalo_Washington,0.5341795311
2019_Buffalo_Wisconsin,0.4284629992
2019_Buffalo_Wofford,0.6300822675
2019_Buffalo_Yale,0.8848532691
2019_Cincinnati_Colgate,0.8594674896
2019_Cincinnati_Duke,0.1622215317
2019_Cincinnati_F Dickinson,0.9516390016
2019_Cincinnati_Florida,0.5376062877
2019_Cincinnati_Florida St,0.2884246455
2019_Cincinnati_Gardner Webb,0.9119741136
2019_Cincinnati_Georgia St,0.8098398925
2019_Cincinnati_Gonzaga,0.2627843747
2019_Cincinnati_Houston,0.3576398987
2019_Cincinnati_Iona,0.956830073
2019_Cincinnati_Iowa,0.500536816
2019_Cincinnati_Iowa St,0.435355454
2019_Cincinnati_Kansas,0.318592651
2019_Cincinnati_Kansas St,0.3927942692
2019_Cincinnati_Kentucky,0.2675714327
2019_Cincinnati_Liberty,0.7759784839
2019_Cincinnati_Louisville,0.4665330516
2019_Cincinnati_LSU,0.3699527106
2019_Cincinnati_Marquette,0.456210696
2019_Cincinnati_Maryland,0.4508037276
2019_Cincinnati_Michigan,0.2264389815
2019_Cincinnati_Michigan St,0.2136411981
2019_Cincinnati_Minnesota,0.5158020779
2019_Cincinnati_Mississippi,0.5985480512
2019_Cincinnati_Mississippi ST,0.4416537847
2019_Cincinnati_Montana,0.8413255514
2019_Cincinnati_Murray St,0.7605861178
2019_Cincinnati_N Dakota St,0.9322649424
2019_Cincinnati_N Kentucky,0.7983998338
2019_Cincinnati_NC Central,0.9795353433
2019_Cincinnati_Nevada,0.4554798048
2019_Cincinnati_New Mexico St,0.6246517395
2019_Cincinnati_North Carolina,0.23254394
2019_Cincinnati_Northeastern,0.8027945549
2019_Cincinnati_Ohio St,0.554001147
2019_Cincinnati_Oklahoma,0.5384430542
2019_Cincinnati_Old Dominion,0.7611170017
2019_Cincinnati_Oregon,0.5723205194
2019_Cincinnati_Prairie View,0.9456287145
2019_Cincinnati_Purdue,0.3418304827
2019_Cincinnati_Seton Hall,0.6107009482
2019_Cincinnati_St John's,0.674047784
2019_Cincinnati_ St. Louis,0.7828204089
2019_Cincinnati_ St. Mary's CA,0.6467891818
2019_Cincinnati_Syracuse,0.5345815286
2019_Cincinnati_Temple,0.6930094067
2019_Cincinnati_Tennessee,0.2212962598
2019_Cincinnati_Texas Tech,0.3220313006
2019_Cincinnati_UC Irvine,0.6743313412
2019_Cincinnati_UCF,0.6307308022
2019_Cincinnati_Utah St,0.5829167902
2019_Cincinnati_VA CommonWealth,0.614927641
2019_Cincinnati_Vermont,0.7769629134
2019_Cincinnati_Villanova,0.4420331977
2019_Cincinnati_Virginia,0.1760669488
2019_Cincinnati_Virginia Tech,0.3930888293
2019_Cincinnati_Washington,0.4669585993
2019_Cincinnati_Wisconsin,0.3641457855
2019_Cincinnati_Wofford,0.5654423136
2019_Cincinnati_Yale,0.8544482717
2019_Colgate_Duke,0.0305629721
2019_Colgate_F Dickinson,0.7621234329
2019_Colgate_Florida,0.1591687921
2019_Colgate_Florida St,0.0619089102
2019_Colgate_Gardner Webb,0.6278128267
2019_Colgate_Georgia St,0.409467944
2019_Colgate_Gonzaga,0.0548530788
2019_Colgate_Houston,0.0831149197
2019_Colgate_Iona,0.7830188385
2019_Colgate_Iowa,0.140277361
2019_Colgate_Iowa St,0.1115337867
2019_Colgate_Kansas,0.070739668
2019_Colgate_Kansas St,0.0952876226
2019_Colgate_Kentucky,0.0561407712
2019_Colgate_Liberty,0.3606018769
2019_Colgate_Louisville,0.1246402098
2019_Colgate_LSU,0.087260297
2019_Colgate_Marquette,0.1201783228
2019_Colgate_Maryland,0.1178905684
2019_Colgate_Michigan,0.0454917837
2019_Colgate_Michigan St,0.0423606779
2019_Colgate_Minnesota,0.1478069433
2019_Colgate_Mississippi,0.1953339771
2019_Colgate_Mississippi ST,0.1140939755
2019_Colgate_Montana,0.4633131998
2019_Colgate_Murray St,0.3409103753
2019_Colgate_N Dakota St,0.6914437595
2019_Colgate_N Kentucky,0.3920240058
2019_Colgate_NC Central,0.8862749473
2019_Colgate_Nevada,0.119867117
2019_Colgate_New Mexico St,0.2131912614
2019_Colgate_North Carolina,0.047014774
2019_Colgate_Northeastern,0.3986045944
2019_Colgate_Ohio St,0.1682214322
2019_Colgate_Oklahoma,0.1596198667
2019_Colgate_Old Dominion,0.3415662461
2019_Colgate_Oregon,0.1789011138
2019_Colgate_Prairie View,0.7390194509
2019_Colgate_Purdue,0.0779678845
2019_Colgate_Seton Hall,0.203448983
2019_Colgate_St John's,0.2518847756
2019_Colgate_ St. Louis,0.369827528
2019_Colgate_ St. Mary's CA,0.229669173
2019_Colgate_Syracuse,0.1575477808
2019_Colgate_Temple,0.2687627366
2019_Colgate_Tennessee,0.0442236682
2019_Colgate_Texas Tech,0.0717849998
2019_Colgate_UC Irvine,0.2521281098
2019_Colgate_UCF,0.2175872938
2019_Colgate_Utah St,0.1853705166
2019_Colgate_VA CommonWealth,0.2063510918
2019_Colgate_Vermont,0.361910659
2019_Colgate_Villanova,0.1142495707
2019_Colgate_Virginia,0.0336224551
2019_Colgate_Virginia Tech,0.0953941299
2019_Colgate_Washington,0.1248268723
2019_Colgate_Wisconsin,0.0852899506
2019_Colgate_Wofford,0.1748183806
2019_Colgate_Yale,0.4886991607
2019_Duke_F Dickinson,0.9902145165
2019_Duke_Florida,0.8567112693
2019_Duke_Florida St,0.6757880524
2019_Duke_Gardner Webb,0.9815760884
2019_Duke_Georgia St,0.9563324221
2019_Duke_Gonzaga,0.6470239045
2019_Duke_Houston,0.741140938
2019_Duke_Iona,0.9913027335
2019_Duke_Iowa,0.8374909496
2019_Duke_Iowa St,0.7985885328
2019_Duke_Kansas,0.7062587798
2019_Duke_Kansas St,0.7688711086
2019_Duke_Kentucky,0.652614219
2019_Duke_Liberty,0.9468444442
2019_Duke_Louisville,0.8180901418
2019_Duke_LSU,0.7512163045
2019_Duke_Marquette,0.8118265232
2019_Duke_Maryland,0.8084710132
2019_Duke_Michigan,0.6008481826
2019_Duke_Michigan St,0.5828330503
2019_Duke_Minnesota,0.8456338212
2019_Duke_Mississippi,0.8846221753
2019_Duke_Mississippi ST,0.8026716371
2019_Duke_Montana,0.9646222531
2019_Duke_Murray St,0.942319491
2019_Duke_N Dakota St,0.9860680782
2019_Duke_N Kentucky,0.9531960345
2019_Duke_NC Central,0.9959537427
2019_Duke_Nevada,0.811375983
2019_Duke_New Mexico St,0.8953758795
2019_Duke_North Carolina,0.6090992336
2019_Duke_Northeastern,0.9544090133
2019_Duke_Ohio St,0.8646405307
2019_Duke_Oklahoma,0.8571240395
2019_Duke_Old Dominion,0.9424778705
2019_Duke_Oregon,0.8731225919
2019_Duke_Prairie View,0.9889426758
2019_Duke_Purdue,0.7275805863
2019_Duke_Seton Hall,0.8897106638
2019_Duke_St John's,0.9140468704
2019_Duke_ St. Louis,0.9488121281
2019_Duke_ St. Mary's CA,0.9040003153
2019_Duke_Syracuse,0.855211755
2019_Duke_Temple,0.9206897663
2019_Duke_Tennessee,0.5937286661
2019_Duke_Texas Tech,0.7095247746
2019_Duke_UC Irvine,0.9141482363
2019_Duke_UCF,0.897787804
2019_Duke_Utah St,0.8778566762
2019_Duke_VA CommonWealth,0.8914465536
2019_Duke_Vermont,0.9471291869
2019_Duke_Villanova,0.802915201
2019_Duke_Virginia,0.5235586762
2019_Duke_Virginia Tech,0.7690904795
2019_Duke_Washington,0.8183444467
2019_Duke_Wisconsin,0.7465156469
2019_Duke_Wofford,0.8699830698
2019_Duke_Yale,0.9679366782
2019_F Dickinson_Florida,0.0555644596
2019_F Dickinson_Florida St,0.0200986179
2019_F Dickinson_Gardner Webb,0.3439427694
2019_F Dickinson_Georgia St,0.1772949174
2019_F Dickinson_Gonzaga,0.0177179539
2019_F Dickinson_Houston,0.0274014397
2019_F Dickinson_Iona,0.528650649
2019_F Dickinson_Iowa,0.0482637973
2019_F Dickinson_Iowa St,0.0375507856
2019_F Dickinson_Kansas,0.023112444
2019_F Dickinson_Kansas St,0.0316966291
2019_F Dickinson_Kentucky,0.0181506294
2019_F Dickinson_Liberty,0.14913891
2019_F Dickinson_Louisville,0.0423780851
2019_F Dickinson_LSU,0.0288555433
2019_F Dickinson_Marquette,0.0407240275
2019_F Dickinson_Maryland,0.0398802326
2019_F Dickinson_Michigan,0.0145963125
2019_F Dickinson_Michigan St,0.0135614659
2019_F Dickinson_Minnesota,0.0511482615
2019_F Dickinson_Mississippi,0.0701534582
2019_F Dickinson_Mississippi ST,0.0384863042
2019_F Dickinson_Montana,0.2115463754
2019_F Dickinson_Murray St,0.1384936611
2019_F Dickinson_N Dakota St,0.4105383639
2019_F Dickinson_N Kentucky,0.1669456931
2019_F Dickinson_NC Central,0.7077798339
2019_F Dickinson_Nevada,0.0406090747
2019_F Dickinson_New Mexico St,0.0776714729
2019_F Dickinson_North Carolina,0.0151013373
2019_F Dickinson_Northeastern,0.170809554
